,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient
500,1,0.9587073431510392,0.28,0.0,2.1,0.7935263795144246,1.1763593718361658,8.510111025240688,5757.312754872894,4.533819121060051,0.8767547815992551,0.9886378757172773,161.24427824257126,3872.868348120574,0.00017079737936534598,0.0029517685675344504
501,2,1.1116978694410429,0.28,0.0,2.1,6.476764230557897,10.0,4.792621595891778,5060.721144990174,3.6028155074021786,2.753522448432556,0.9931441641114942,31.097086850493852,484.2089670003499,0.0006505662290809778,0.00037327839941037055
502,2,0.8160075147150592,0.28,0.0,2.1,19.549207446122285,9.482520679682391,16.340320219622303,5053.342895011831,3.9279246443863363,1.6226021108107824,0.9565664551664517,59.782537615391156,1024.3745601007345,0.0017768365896963787,0.0006910594055814512
503,2,0.8696867123182173,0.28,0.0,2.1,14.392351164301132,7.956849435795373,12.678265711502357,5576.67338990595,4.162958491916887,1.2787210061973469,0.9154042897652717,88.34139205650095,1675.3070311185627,0.0007735748339976974,0.0021092473137425127
504,2,0.874433195789317,0.28,0.0,2.1,13.149338533073056,6.903128816005733,12.417809313499735,5640.290707417802,4.242779383943828,1.1700111333909604,0.8995367019575945,100.82590922313669,2001.9451014644715,0.00031130561850756813,0.0015011040977078727
505,2,0.9867619304717352,0.28,0.0,2.1,9.786765454974962,9.268469974252133,7.519578530552136,5366.403046049428,3.9000082028348544,1.8425131028341841,0.9708333438453869,54.445605276775034,932.1591851497997,0.0011912206040218874,0.0005679706598659129
506,2,0.8231209747613378,0.28,0.0,2.1,19.386940139907885,9.972955365797901,15.772180795256116,4882.094238146797,3.6234741814776457,2.312870133136976,0.981358694341277,34.746299239381536,517.004861101428,0.0005464644526397704,0.00016599830974539653
507,2,0.934012845601648,0.28,0.0,2.1,11.174574406864853,8.007044763241217,9.470664906493164,5680.200736766734,4.105496285611478,1.4156544249057044,0.9249591069914844,78.68905744411869,1454.246301269587,0.0009590082915541086,0.002425025852110907
508,1,1.025958428414067,0.28,0.0,2.1,5.842861272456738,4.640926018039396,6.331630646468088,5979.863065904077,4.255050848860234,1.2500482422614252,0.883111232842479,98.6032748275618,1999.9942796298892,0.0005122953440604661,0.005278605802434888
509,2,1.0203691163057624,0.28,0.0,2.1,6.536556771704452,5.379897475629775,6.481143205314053,5957.958312474039,4.217874537530388,1.300895939818906,0.888518339066757,92.771002964027,1839.286281563998,0.00047046524082214726,0.003884853819991041
510,2,1.1014079591456811,0.28,0.0,2.1,6.544037705617483,9.453454030578563,4.938635194637612,5294.76244904422,3.7966349549135607,2.1929011478780667,0.9825547172379526,44.1319322195606,739.6652897135843,0.001482710259474529,0.0006648029199253225
511,2,1.060422667166995,0.28,0.0,2.1,7.525393018807963,9.350448544318267,5.439559289473802,5355.62860878021,3.840174825088983,2.0460142507465418,0.9802693352847243,48.165756730783755,813.0048246850923,0.0011390551223582313,0.000522886234720632
512,2,1.1394353318772041,0.28,0.0,2.1,5.458841086027848,8.389888560245376,4.444658940237908,5869.55223048155,3.9080136716513705,1.9629041993721243,0.9373149814337433,53.48450657564478,907.8930887004857,0.0014949329777747594,0.00225181047976597
513,2,1.128017721544052,0.28,0.0,2.1,5.904902271645435,9.175701628862653,4.593693862495635,5521.708211644811,3.8322501846484855,2.130483215622258,0.9743187976712288,46.93108502721306,786.2071376515773,0.0011669820514403114,0.0005597013176282806
514,2,0.9082243376830028,0.28,0.0,2.1,12.935026253949495,8.81440059405264,10.653165281869686,5500.359562641134,4.034943428550994,1.5137217542793446,0.9436441267741421,70.28738494057143,1256.2365137657848,0.0014827728799251178,0.0015375471286841469
515,1,1.0765463607143848,0.28,0.0,2.1,1.6707117104699571,1.6906915035189731,5.081790012319021,6122.379027209605,4.400423347253022,1.0833015677464488,0.943641115438802,124.44292351451172,2762.401270860295,0.00014954377045555873,0.0028724195265708574
